"position_id","Word_Unique_ID","Text_ID","Word_Number","Word_Length","Word_POS","Word_In_Sentence_Number","OrthoMatchModel","POSMatchModel","LSA_Response_Match_Score","mean_log_ffd","n_fixations"
"36-12","QID1742",36,12,5,"Noun",12,0.365200556,0.964512252,0.6105,5.20113837489297,59
"36-13","QID1743",36,13,3,"Verb",13,0.145656369,0.580883006,0.63025,5.25199830319555,35
"36-14","QID1744",36,14,9,"Adjective",14,0.005302595,0.20759503,0.2885,5.38049971454801,77
"36-15","QID1745",36,15,6,"Adverb",15,0.005302595,0.01784745,0.626,5.35846416087289,66
"36-17","QID1747",36,17,5,"Verb",17,0.005302595,0.917944696,0.07375,5.13265728959676,63
"36-18","QID1748",36,18,3,"Adjective",18,0.048098648,0.086516946,0.306,5.37606776743558,53
"36-21","QID1751",36,21,5,"Noun",21,0.005302595,0.674530517,0.151,5.15341119114606,73
"36-23","QID1753",36,23,5,"Noun",23,0.005302595,0.917944696,0.186,5.42360266128549,75
"36-28","QID1759",36,28,5,"Adjective",28,0.010960197,0.036046149,0,5.30486896678876,65
"36-29","QID1760",36,29,10,"Noun",29,0.291304113,0.01784745,0.36375,5.37434885230918,80
"36-31","QID1762",36,31,4,"Noun",31,0.011181706,0.01524344,0,5.26717624018013,54
"36-32","QID1763",36,32,4,"Verb",32,0.098111406,0.137965875,0.631025641,5.30420430649053,52
"36-33","QID1764",36,33,4,"Adverb",33,0.005302595,0.379307301,0.58,5.2843569848143,62
"36-34","QID1765",36,34,3,"Verb",34,0.025243654,0.062843221,0.43875,5.26207457033974,51
"36-35","QID1766",36,35,4,"Adverb",35,0.463857483,0.110474532,0.75025,5.05831126582653,52
"36-36","QID1767",36,36,9,"Adjective",36,0.414517795,0.062843221,0.6085,5.2006803670275,80
"36-39","Q2696",36,39,5,"Noun",39,0.364393148,0.037747922,0,5.53811063758955,51
"37-2","QID1770",37,2,8,"Noun",2,0.005110113,0.346351641,0.097317073,5.32075614649889,79
"37-3","QID1771",37,3,5,"Verb",3,0.005291,0.817201055,0.328717949,5.35118004602026,72
"37-6","QID1774",37,6,3,"Noun",6,0.005191904,0.18333222,0.385,5.33534241999902,64
"37-8","QID1776",37,8,6,"Noun",8,0.005191904,0.8459823,0.158,5.27156911999522,72
"37-10","QID1778",37,10,3,"Verb",2,0.222863631,0.641304563,0.694615385,5.28091253148117,58
"37-11","QID1779",37,11,8,"Verb",3,0.005249396,0.263075152,0.184615385,5.33084810089127,77
"37-14","QID1782",37,14,4,"Adjective",6,0.005249396,0.088716324,0.134102564,5.32103151792623,60
"37-17","QID1785",37,17,7,"Noun",3,0.005351474,0.580275313,0.235641026,5.28837226974623,77
"37-19","QID1787",37,19,4,"Noun",5,0.005249396,0.94040385,0.071025641,5.15037677040319,63
"37-22","QID1790",37,22,5,"Noun",8,0.005249396,0.891682316,0.225675676,5.14391993462524,74
"37-24","QID1792",37,24,5,"Verb",10,0.12268119,0.963969877,0.625641026,5.2680221036823,67
"37-25","QID1793",37,25,6,"Verb",11,0.005249396,0.866962092,0.185641026,5.26603677051096,71
"37-28","QID1796",37,28,10,"Noun",14,0.17263767,0.590868591,0.419487179,5.23535199306116,78
"37-30","QID1798",37,30,4,"Noun",16,0.005249396,0.237963588,0.108717949,5.44139235888308,66
"37-31","QID1799",37,31,8,"Adverb",17,0.005249396,0.540401769,0.414102564,5.37020038415085,78
"37-33","QID1801",37,33,7,"Verb",19,0.073281209,0.985852388,0.517179487,5.47865885828984,73
"37-39","QID1807",37,39,7,"Verb",25,0.073281209,0.985852388,0.513589744,5.26263473788245,80
